annotation	bilirubin	time
37w_risk	9.7	22
37w_risk	13.2	46
37w_risk	15.9	70
37w_risk	17.8	94
37w_risk	18	118
37w_risk	18.1	142
37w_risk	18.2	166
37w_risk	9.9	23
37w_risk	13.4	47
37w_risk	16	71
37w_risk	17.8	95
37w_risk	18	119
37w_risk	18.1	143
37w_risk	18.2	167
NA	NA	NA
38w_risk	NA	0
38w_risk	10.5	24
38w_risk	14	48
38w_risk	16.6	72
38w_risk	NA	96
38w_risk	6.4	1
38w_risk	10.7	25
38w_risk	14.1	49
38w_risk	16.6	73
38w_risk	18.2	97
38w_risk	6.6	2
38w_risk	10.8	26
38w_risk	14.2	50
38w_risk	16.7	74
38w_risk	18.2	98
38w_risk	6.8	3
38w_risk	11	27
38w_risk	14.4	51
38w_risk	16.8	75
38w_risk	18.2	99
38w_risk	7	4
38w_risk	11.2	28
38w_risk	14.5	52
38w_risk	16.9	76
38w_risk	18.2	100
38w_risk	7.2	5
38w_risk	11.3	29
38w_risk	14.6	53
38w_risk	17	77
38w_risk	18.2	101
38w_risk	7.3	6
38w_risk	11.5	30
38w_risk	14.7	54
38w_risk	17.1	78
38w_risk	18.2	102
38w_risk	7.5	7
38w_risk	11.6	31
38w_risk	14.8	55
38w_risk	17.1	79
38w_risk	18.2	103
38w_risk	7.7	8
38w_risk	11.8	32
38w_risk	14.9	56
38w_risk	17.2	80
38w_risk	18.2	104
38w_risk	7.9	9
38w_risk	11.9	33
38w_risk	15.1	57
38w_risk	17.3	81
38w_risk	18.2	105
38w_risk	8.1	10
38w_risk	12.1	34
38w_risk	15.2	58
38w_risk	17.4	82
38w_risk	18.2	106
38w_risk	8.3	11
38w_risk	12.2	35
38w_risk	15.3	59
38w_risk	17.4	83
38w_risk	18.2	107
38w_risk	8.5	12
38w_risk	12.4	36
38w_risk	15.4	60
38w_risk	17.5	84
38w_risk	18.2	108
38w_risk	8.6	13
38w_risk	12.5	37
38w_risk	15.5	61
38w_risk	17.6	85
38w_risk	18.2	109
38w_risk	8.8	14
38w_risk	12.7	38
38w_risk	15.6	62
38w_risk	17.6	86
38w_risk	18.2	110
38w_risk	9	15
38w_risk	12.8	39
38w_risk	15.7	63
38w_risk	17.7	87
38w_risk	18.2	111
38w_risk	9.2	16
38w_risk	12.9	40
38w_risk	15.8	64
38w_risk	17.8	88
38w_risk	18.2	112
38w_risk	9.4	17
38w_risk	13.1	41
38w_risk	15.9	65
38w_risk	17.8	89
38w_risk	18.2	113
38w_risk	9.5	18
38w_risk	13.2	42
38w_risk	16	66
38w_risk	17.9	90
38w_risk	18.2	114
38w_risk	9.7	19
38w_risk	13.3	43
38w_risk	16.1	67
38w_risk	18	91
38w_risk	18.2	115
38w_risk	9.9	20
38w_risk	13.5	44
38w_risk	16.2	68
38w_risk	18	92
38w_risk	18.2	116
38w_risk	10	21
38w_risk	13.6	45
38w_risk	16.3	69
38w_risk	18.1	93
38w_risk	18.2	117
38w_risk	10.2	22
38w_risk	13.7	46
38w_risk	16.4	70
38w_risk	18.1	94
38w_risk	18.2	118
38w_risk	10.4	23
38w_risk	13.9	47
38w_risk	16.5	71
38w_risk	18.2	95
38w_risk	18.2	119
